Cluster ID,Plot ID,Subplot,Count,DBH (cm),Height (m),Crown Diameter1 (m),Crown Diameter2 (m),Dominant species,List of other species
9,5,4,1,6,3.1,2,0.9,85,
9,6,1,7,10,7.4,4.2,2.9,61,71
9,6,2,15,6,3.8,2.6,1.3,54,71; 26
9,6,3,3,6,3.7,1.8,0.9,54,
9,6,4,7,5,6.3,2.1,0.8,71,54
9,7,1,14,7,7,3.5,1.8,87,71
9,7,2,3,5,4.8,1.2,0.8,71,
9,7,3,25,10,7.5,4.5,1.7,87,71; 81
9,7,4,5,8,6.2,4.1,3.2,55,87; 90
9,8,1,9,7,6.2,1.9,0.7,22,18
9,8,2,7,5,4.2,1.9,1.2,18,111
9,8,3,10,9.6,6.1,3.5,2.6,111,71; 18
9,8,4,5,8,4.2,4.1,3.2,18,90
9,9,1,2,9,3.6,2.9,2,18,
9,9,2,4,9,6.8,6.1,2.2,18,
9,9,3,1,10,9.6,6.4,4.2,52,
9,9,4,3,9,7.6,5.1,2.1,71,
9,10,1,4,8,5.5,3.6,2.8,106,1
9,10,2,5,8,5.9,4,2.6,41,85
9,10,3,1,6,3.6,3.2,1.2,65,
9,10,4,4,10,3.4,3.8,1.8,1,65
10,1,1,8,6,3.6,2.4,1.8,18,90; 61
10,1,2,6,7,9,4.8,4.1,61,71; 18
10,1,4,3,4.2,3.8,2.6,0.7,10,
10,2,1,1,4.2,3.4,2.1,0.9,61,
10,2,4,3,8.5,5.5,3.8,2.4,65,87; 18
10,3,1,1,8,7.2,4.1,3.2,18,
10,3,2,4,7,9.8,3,2.5,10,18
10,3,3,3,7,6.1,3.5,2.6,18,106
10,4,1,5,7.5,6.9,4.6,3.2,61,87; 102
10,4,2,4,9.5,10.5,5.1,4.1,65,61; 66
10,4,4,6,5,7,3.9,3.4,111,61; 65
10,5,1,2,4.8,3.1,2.9,1.4,100,
10,5,2,1,5,3.6,2.1,1.2,19,
10,5,3,1,9,7.3,3.9,2.3,66,
10,5,4,4,6,4,5.1,3.1,90,18
10,6,1,16,8,5.5,2.3,1.6,18,61; 22
10,6,2,3,9,7.5,3.2,2.4,61,
10,6,3,6,5,4.2,3.4,2.9,18,22
10,7,1,1,8,6.5,3.3,2.14,108,
10,7,2,4,4.5,5.1,2.9,2.4,90,108
10,7,4,4,9,4.5,2.6,1.4,108,1
10,8,1,5,8,6.2,4.2,2.8,10,1
10,8,3,3,8,6,4.3,2.8,1,85
10,8,4,4,7.3,6.2,3.4,2.2,10,
10,9,1,3,4.8,3.5,1.9,1.4,18,84
10,9,4,4,4.1,3.1,2.1,1.9,18,61
10,10,1,7,8,6,3.2,2.2,61,52
10,10,3,4,8.2,7.1,4.2,4,61,85; 22
10,10,4,5,8.5,6,4.9,3.6,22,61
11,1,1,1,6,7,1.2,0.8,105,
11,1,2,2,4,3.5,1.8,0.6,18,
11,1,3,4,8,6,3.4,2.9,18,61
11,2,2,2,8,3.5,3.5,3.2,87,
11,3,2,2,8,6.2,2.96,2.1,111,18
11,3,3,2,5,3.4,1.73,1.25,111,
11,3,4,1,5,3.7,1.6,0.9,85,
11,4,2,1,4,3.1,0.9,0.8,100,
11,4,4,6,8,4.4,3.9,1.9,85,18; 90; 71
11,5,1,4,5,4.2,2.2,1.6,104,61
11,5,3,3,9,9.2,2.1,1.5,61,100
11,5,4,3,8,5.2,2.75,1.9,87,
11,6,1,6,7,7.2,1.8,1.2,87,55; 54
11,6,3,1,5,3.2,1.4,0.7,100,
11,6,4,4,6,5.2,1.6,0.9,18,54; 55
11,7,1,2,5,4,1.4,1.25,90,18
11,7,2,3,7,3.2,4.7,3.5,85,18
11,7,3,5,9,6.2,1.35,1.2,61,85; 52
11,7,4,1,7,4.6,3.4,2.3,85,
11,9,1,6,7,6.3,2.6,1.3,111,85; 18
11,9,2,3,6,6.5,1.9,1.7,87,
11,10,1,4,10,7,4.6,2.5,18,85
11,10,2,1,9,5.2,3.7,3.15,85,
11,10,3,2,7,3.7,1.6,1.2,90,
11,10,4,5,10,6.2,2.6,1.65,100,
12,1,1,3,4,3.2,1.8,1.2,54,
12,1,2,5,5.2,3.8,1.5,0.7,89,54; 71; 111
12,1,3,6,4.6,3.4,1.6,0.9,45,100; 54
12,1,4,6,4.8,3.5,1.4,0.7,54,71; 111
12,2,1,24,9,7.2,3.2,2.4,54,104; 1; 18
12,2,2,14,8,6.2,2.4,1.3,104,54; 111
12,2,3,18,8,6.9,2.9,1.9,104,85; 54; 18
12,2,4,8,7,4,2.8,2.1,104,54; 61
12,3,1,18,9,6.5,3.1,2.4,111,65; 10
12,3,2,8,7.4,6.3,2.4,1.6,10,111
12,3,3,10,8.5,7,2.8,1.9,111,111; 10
12,3,4,10,9.4,8,3.6,2.4,111,87; 102; 111
12,4,1,6,4.5,7,2.2,1.3,31,111
12,4,2,4,4.6,3.8,1.4,0.8,111,111
12,4,3,4,4.3,3.9,1.4,0.9,54,89
12,4,4,2,4.4,3.8,1.2,0.9,89,
12,5,1,3,4.5,3.3,1.2,0.9,1,54
12,5,2,2,4.3,3.1,0.9,0.4,54,
12,5,3,2,4.4,3,1.2,0.5,10,
12,5,4,1,4.3,3.2,0.9,0.4,10,
12,6,1,3,8,6,4.8,3.4,87,
12,6,2,6,9,7,3.8,2.9,87,31; 18
12,6,3,4,6,4.2,3.6,2.4,87,
12,7,1,13,10,10.5,5.3,2.6,54,87.71; 45
12,7,2,6,8,6.2,2.4,1.3,31,87; 71; 54
