Cluster ID,Plot ID,Tree ID,Species,DBH (cm),Unusual,Dead,,,
3,8,14b,71,14,0,0,,,
3,8,14c,71,12,0,0,,,
3,8,15,71,16,0,0,,,
3,8,16,71,11,0,0,,,
3,8,17,102,21,0,0,,,
3,8,18,85,28,0,0,,,
3,8,19,71,18,0,0,,,
3,8,20a,102,14,0,0,,,
3,8,20b,102,20,0,0,,,
3,8,20c,102,13,0,0,,,
3,8,21,102,15,0,0,,,
3,8,22,71,12,0,0,,,
3,8,23,55,14,0,0,,,
3,8,24,18,11,0,0,,,
3,8,25,10,13,0,0,,,
3,8,26,85,16,0,0,,,
3,8,27,61,20,0,0,,,
3,8,28,18,16,0,0,,,
3,8,29,18,12,0,0,,,
3,8,30,18,13,0,0,,,
3,8,31,18,11,0,0,,,
3,8,32,18,17,0,0,,,
3,8,33,18,13,0,0,,,
3,8,34,10,18,0,0,,,
3,8,35,111,12,0,0,,,
3,8,36,10,13,0,0,,,
3,8,37,18,14,0,0,,,
3,8,38,100,12,0,0,,,
3,8,39,100,11,0,1,,,
3,9,1,61,12,0,0,,,
3,9,2,39,11,0,0,,,
3,9,3,90,36,0,0,,,
3,9,4,71,23,0,0,,,
3,9,5,81,30,0,0,,,
3,9,6,61,50,0,0,,,
3,9,7,111,33,0,0,,,
3,9,8,55,42,0,0,,,
3,9,9,61,11,0,0,,,
3,9,10,71,12,0,0,,,
3,9,11,18,13,0,0,,,
3,9,12,71,12,0,0,,,
3,9,13,102,10,0,0,,,
3,9,14,55,67,0,0,,,
3,9,15,61,12,0,0,,,
3,9,16a,111,13,0,0,,,
3,9,16b,111,14,0,0,,,
3,9,16c,111,14,0,0,,,
3,9,16d,111,13,0,0,,,
3,9,17,85,15,0,0,,,
3,9,18,55,24,0,0,,,
3,9,19,85,12,0,0,,,
3,9,20,61,38,0,0,,,
3,9,21,61,20,0,0,,,
3,9,22,18,16,0,0,,,
3,9,23,18,12,0,1,,,
3,9,24,18,13,0,0,,,
3,9,25,18,11,0,1,,,
3,9,26,18,17,0,0,,,
3,9,27,18,13,0,0,,,
3,9,28,10,18,0,0,,,
3,9,29,111,12,0,0,,,
3,9,30,10,13,0,0,,,
3,9,31,18,14,0,0,,,
3,9,32,100,12,0,0,,,
3,9,33,100,11,0,0,,,
3,9,34,61,20,0,0,,,
3,9,35,86,14,0,0,,,
3,9,36,100,12,0,0,,,
3,9,37,22,13,0,0,,,
3,9,38,52,19,0,0,,,
3,9,39,18,14,0,0,,,
3,9,40,61,23,0,0,,,
3,9,41,41,15,0,0,,,
3,9,42,18,15,0,0,,,
3,9,43,61,10,0,0,,,
3,10,1,18,34,0,0,,,
3,10,2,61,15,0,0,,,
3,10,3,52,13,0,0,,,
3,10,4,61,14,0,0,,,
3,10,5,39,12,0,0,,,
3,10,6,100,12,0,0,,,
3,10,7,100,12,0,0,,,
3,10,8,100,17,0,0,,,
3,10,9,100,17,0,0,,,
3,10,10,61,42,0,0,,,
3,10,11,18,15,0,0,,,
3,10,12,52,16,0,0,,,
3,10,13,52,18,0,0,,,
3,10,14,61,24,0,0,,,
3,10,15,22,16,0,0,,,
3,10,16,52,16,0,0,,,
3,10,17,52,19,0,0,,,
3,10,18a,86,25,0,0,,,
3,10,18b,86,12,0,0,,,
3,10,18c,86,23,0,0,,,
3,10,19,61,18,0,0,,,
3,10,20a,52,11,0,0,,,
3,10,20b,18,20,0,0,,,
3,10,20c,18,14,0,0,,,
3,10,20d,18,25,0,0,,,
3,10,21,61,11,0,0,,,
3,10,22,61,15,0,0,,,
3,10,23,61,13,0,0,,,
3,10,24,61,11,0,0,,,
3,10,25,52,15,0,0,,,
3,10,26,39,16,0,0,,,
3,10,27a,18,14,0,0,,,
3,10,27b,18,13,0,0,,,
3,10,28,39,34,0,0,,,
3,10,29,18,11,0,0,,,
3,10,30,39,11,0,0,,,
3,10,31,18,20,0,0,,,
3,10,32,18,22,0,0,,,
