Cluster ID,Plot ID,Tree ID,DBH (cm),Height (m),Crown Diameter1 (m),Crown Diameter2 (m)
8,5,1,16,9.5,5.2,4.5
8,5,2,20,8.8,7.6,4.5
8,6,16,10,10.3,2.2,1.1
8,6,29,69,16.0,11.6,5.3
8,6,7b,31,13.0,4.2,2.8
8,7,2,44,13.0,9.9,6.9
8,7,18b,11,10.0,3.2,1.8
8,7,26b,26,15.0,4.6,2.4
8,8,8,40,14.0,5.6,4.2
8,8,29,20,13.0,4.1,2.5
8,8,19a,10,6.0,2.5,2.1
8,9,3,20,13.0,3.6,3.0
8,9,4,15,7.0,4.8,4.1
8,9,1a,34,16.0,10.3,5.7
8,10,3,46,12.0,6.2,4.3
8,10,10b,11,7.0,2.4,1.6
8,10,2b,23,11.5,4.7,3.1
8,11,4,48,14.0,11.4,10.5
8,11,16b,18,13.0,8.1,7.2
8,11,16c,10,11.0,5.3,2.1
8,12,7,11,6.0,2.1,1.4
8,12,23,66,16.0,14.2,9.2
8,12,29,29,9.6,4.6,3.2
9,1,4,37,10.2,11.0,6.1
9,1,9,10,5.0,4.5,3.2
9,1,1d,83,15.0,20.2,14.8
9,2,1,70,13.0,16.5,11.2
9,2,3,11,5.0,6.0,5.6
9,2,4,25,10.0,9.4,7.5
9,3,5,36,11.0,9.0,7.5
9,3,19,10,4.6,3.5,2.7
9,3,6a,16,9.0,5.8,4.4
9,4,1,36,11.0,7.4,6.5
9,4,2,40,13.0,14.2,7.8
9,5,5,11,7.0,4.3,3.8
9,5,21,38,12.5,7.5,6.8
9,5,22,18,9.0,8.4,5.3
9,6,2,18,11.0,8.6,7.8
9,6,5,10,7.2,3.4,1.9
9,6,1b,38,12.5,11.8,10.4
9,7,6,48,12.0,9.8,7.6
9,7,20,21,10.5,6.5,4.9
9,7,2b,10,8.0,3.8,1.5
9,8,14,10,8.0,2.1,0.9
9,8,23,36,11.0,12.9,7.1
9,8,42,16,10.0,7.5,3.8
9,9,4,22,10.0,4.3,3.9
