Cluster ID,Plot ID,Tree ID,Species,DBH (cm),Unusual,Dead
2,5,16,8,14.5,0,0
2,5,17,8,11.0,1,0
2,5,18,8,16.5,0,0
2,5,19,8,11.6,0,0
2,5,20,8,10.0,0,0
2,5,21,8,10.0,0,0
2,5,22,32,20.0,0,0
2,5,23,8,10.3,0,0
2,5,24,8,18.8,0,0
2,5,25,57,14.4,0,0
2,6,1,8,19.6,0,0
2,6,2,8,21.0,0,0
2,6,3,8,11.7,0,0
2,6,4,24,11.2,0,0
2,6,5,24,11.6,0,0
2,6,6,8,16.5,0,0
2,6,7,8,16.0,0,0
2,6,8,8,21.8,0,0
2,6,9,8,15.0,0,0
2,6,10,8,12.8,0,0
2,6,11,8,22.5,0,0
2,6,12,8,10.0,0,0
2,6,13,8,20.4,0,0
2,6,14,8,34.2,0,0
2,6,15,8,10.8,0,0
2,6,16,8,13.7,0,0
2,6,17,15,12.4,0,0
2,6,18,8,11.6,0,0
2,6,19,8,11.8,0,0
2,6,20,8,14.8,0,0
2,6,21,8,12.7,0,0
2,6,22,8,12.2,0,0
2,6,23,8,15.5,0,0
2,6,24,8,33.6,0,0
2,6,25a,8,42.8,0,0
2,6,25b,8,25.9,0,0
2,7,1,41,27.2,0,0
2,7,2,8,12.5,0,0
2,7,3,57,12.6,0,0
2,7,4,41,26.2,0,0
2,7,5,8,30.7,0,0
2,7,6,15,12.6,0,0
2,8,1,57,14.5,0,0
2,8,2,57,14.1,0,0
2,8,3,13,19.0,0,0
2,8,4,57,10.5,0,0
2,8,5,57,10.2,0,0
2,8,6,8,11.7,0,0
2,8,8,57,11.2,0,0
2,8,9,46,10.6,0,0
2,8,10,8,16.6,0,0
2,8,11,8,17.2,0,0
2,8,12,8,16.6,0,0
2,8,13,56,32.0,1,0
2,8,14,8,10.6,0,0
2,8,16,13,26.1,0,0
2,8,17,57,14.5,0,0
2,8,18,8,11.3,0,0
2,8,19,8,11.4,0,0
2,8,20,39,31.1,1,0
2,8,15a,13,22.5,1,0
2,8,15b,13,24.0,1,0
2,8,7a,8,14.3,0,0
2,8,7b,8,10.9,0,0
2,9,2,8,12.0,0,0
2,9,3,22,10.9,0,0
2,9,4,62,49.9,1,0
2,9,5,51,19.1,0,0
2,9,6,8,18.4,0,0
2,9,7,8,13.9,0,0
2,9,8,1,12.5,0,0
2,9,9,57,16.5,0,0
2,9,10,57,13.6,0,0
2,9,11,8,10.0,0,0
2,9,12,15,12.7,0,0
2,9,13,15,15.5,0,0
2,9,14,57,14.3,0,0
2,9,15,62,33.1,0,0
2,9,16,57,17.9,0,0
2,9,18,57,11.9,0,0
2,9,19,8,40.4,0,0
2,9,20,8,10.1,0,0
2,9,21,8,11.1,0,0
2,9,22,8,32.7,1,0
2,9,17a,8,18.2,0,0
2,9,17b,8,12.5,0,0
2,9,1a,15,16.3,0,0
2,9,1b,15,12.6,0,0
2,10,1,15,19.0,0,0
2,10,2,8,12.5,0,0
2,10,3,8,17.9,0,0
2,10,4,57,12.8,0,0
2,10,5,57,10.7,0,0
2,10,6,1,10.4,0,0
2,10,7,57,11.7,0,0
2,10,8,51,18.2,0,0
2,10,9,57,12.1,0,0
2,10,11,57,15.9,0,0
2,10,12,57,10.5,0,0
2,10,13,22,10.6,0,0
2,10,14,57,13.1,0,0
2,10,15,14,17.8,0,0
2,10,16,8,15.8,0,0
2,10,17,8,18.3,0,0
2,10,18,8,16.4,0,0
2,10,19,57,11.6,0,0
2,10,20,8,12.2,0,0
2,10,21,44,16.8,0,0
2,10,22,22,10.7,0,0
2,10,23,22,12.0,0,0
2,10,24,57,14.0,0,0
2,10,10a,15,24.2,0,0
2,10,10b,15,13.8,0,0
3,1,1,8,18.0,0,0
3,1,2,41,43.0,0,0
3,1,3,8,11.5,0,0
3,1,4,8,13.0,0,0
3,1,5,8,13.5,0,0
3,1,6,8,22.5,0,0
3,1,7,8,23.4,0,0
3,1,8,8,16.2,0,0
3,1,11,8,12.3,0,0
3,1,13,8,16.4,0,0
3,1,14,8,10.3,0,0
3,1,15,32,28.3,0,0
3,1,16,8,11.4,0,0
3,1,18,8,20.1,0,0
3,1,19,32,10.4,0,0
3,1,20,33,19.6,0,0
3,1,22,49,22.5,0,0
3,1,23,49,17.0,0,0
3,1,24,39,11.0,0,0
3,1,25,8,24.0,0,0
3,1,26,49,25.7,0,0
3,1,27,49,14.4,0,0
3,1,28,49,14.3,0,0
3,1,29,8,16.5,0,0
3,1,30,33,11.9,0,0
3,1,31,49,10.3,0,0
3,1,32,13,19.7,0,0
3,1,10a,8,22.0,0,0
3,1,10b,8,20.2,0,0
3,1,12a,8,16.6,0,0
3,1,12b,8,19.1,0,0
3,1,17a,8,26.6,0,0
3,1,17b,8,17.9,0,0
3,1,21a,8,32.4,0,0
3,1,21b,8,23.4,0,0
3,1,9a,8,27.0,0,0
3,1,9b,8,15.8,0,0
3,2,1,38,10.2,0,0
3,2,2,48,10.7,0,0
3,2,3,48,14.7,0,0
3,2,4,48,10.4,0,0
3,2,5,51,12.1,0,0
3,2,6,48,11.6,0,0
3,3,1,8,16.8,0,0
3,3,2,51,33.1,0,0
3,3,3,8,12.2,0,0
3,3,4,8,11.4,0,0
3,3,6,51,26.6,0,0
3,3,7,8,18.1,0,0
3,3,8,8,14.5,0,0
3,3,9,8,17.1,0,0
3,3,10,8,10.9,0,0
3,3,11,9,22.6,0,0
3,3,12,8,26.4,0,0
3,3,13,9,15.8,0,0
3,3,14,9,17.8,0,0
3,3,15,63,10.6,0,0
3,3,16,51,24.8,0,0
3,3,17,44,15.5,0,0
3,3,18,51,12.5,0,0
3,3,19,51,11.0,0,0
